circRNA,miRNA
hsa_circ_0000043,hsa-miR-1271-5p
hsa_circ_0106714,hsa-miR-942-5p
hsa_circ_0000376,hsa-miR-145-5p
hsa_circ_0005273,hsa-miR-330-5p
hsa_circ_0032821,hsa-miR-515-5p
hsa_circ_0039053,hsa-miR-637
hsa_circ_0000260,hsa-miR-129-5p
hsa_circ_0000567,hsa-miR-615-5p
hsa_circ_0000567,hsa-miR-1538
hsa_circ_0003645,hsa-miR-139-3p
hsa_circ_0106800,hsa-miR-330-3p
hsa_circ_0004771,hsa-miR-1200
hsa_circ_0093996,hsa-miR-492
hsa_circ_0093996,hsa-miR-494-3p
hsa_circ_0000039,hsa-miR-1292-5p
hsa_circ_0009143,hsa-miR-1286
hsa_circ_0035266,hsa-miR-181d-5p
hsa_circ_0081519,hsa-miR-637
hsa_circ_0084927,hsa-miR-634
hsa_circ_0004018,hsa-miR-626
hsa_circ_0005556,hsa-miR-4270
hsa_circ_0132813,hsa-miR-16-5p
hsa_circ_0000231,hsa-miR-502-5p
hsa_circ_0016068,hsa-miR-330-3p
hsa_circ_0007031,hsa-miR-760
hsa_circ_0001721,hsa-miR-372-3p
hsa_circ_0000936,hsa-miR-1294
hsa_circ_0005785,hsa-miR-578
hsa_circ_0000142,hsa-miR-610
hsa_circ_0001649,hsa-miR-647
hsa_circ_0045602,hsa-miR-302b-3p
hsa_circ_0005728,hsa-miR-512-3p
hsa_circ_0000615,hsa-miR-501-3p
hsa_circ_0000284,hsa-miR-193a-3p
hsa_circ_0000488,hsa-miR-496
hsa_circ_0058124,hsa-miR-940
hsa_circ_0001742,hsa-miR-634
hsa_circ_0000376,hsa-miR-1182
hsa_circ_0103809,hsa-miR-516a-5p
hsa_circ_0000735,hsa-miR-940
hsa_circ_0082374,hsa-miR-326
hsa_circ_0007142,hsa-miR-455-5p
hsa_circ_0003738,hsa-miR-562
hsa_circ_0003738,hsa-miR-490-5p
hsa_circ_0000034,hsa-miR-361-3p
hsa_circ_0007031,hsa-miR-133b
hsa_circ_0000517,hsa-miR-326
hsa_circ_0029589,hsa-miR-424-5p
hsa_circ_0037128,hsa-miR-17-3p
hsa_circ_0026359,hsa-miR-1200
hsa_circ_0072758,hsa-miR-493-5p
hsa_circ_0006835,hsa-miR-149-5p
hsa_circ_0074854,hsa-miR-610
hsa_circ_0004058,hsa-miR-23b-3p
hsa_circ_0002211,hsa-miR-346
hsa_circ_0005615,hsa-miR-9-5p
hsa_circ_0015756,hsa-miR-610
hsa_circ_0013912,hsa-miR-7-5p
hsa_circ_0009043,hsa-miR-421
hsa_circ_0000291,hsa-miR-326
hsa_circ_0002577,hsa-miR-625-5p
hsa_circ_0008898,hsa-miR-197-5p
hsa_circ_0011292,hsa-miR-379-5p
hsa_circ_0020123,hsa-miR-590-5p
hsa_circ_0010220,hsa-miR-503-5p
hsa_circ_0008934,hsa-miR-145-5p
hsa_circ_0000512,hsa-miR-296-5p
hsa_circ_0007334,hsa-miR-519d-3p
hsa_circ_0029589,hsa-miR-214-3p
hsa_circ_0007841,hsa-miR-338-3p
hsa_circ_0067934,hsa-miR-1182
hsa_circ_0024097,hsa-miR-376b-3p
hsa_circ_0061052,hsa-miR-515-5p
hsa_circ_0001846,hsa-miR-361-3p
hsa_circ_0109291,hsa-miR-188-3p
hsa_circ_0005728,hsa-miR-200a-3p
hsa_circ_0016760,hsa-miR-577
hsa_circ_0067934,hsa-miR-186-5p
hsa_circ_0113656,hsa-miR-149-5p
hsa_circ_0001588,hsa-miR-524-3p
hsa_circ_0007874,hsa-miR-182-5p
hsa_circ_0000274,hsa-miR-567
hsa_circ_0000328,hsa-miR-502-5p
hsa_circ_0005758,hsa-miR-452-5p
hsa_circ_0139996,hsa-miR-558
hsa_circ_0000740,hsa-miR-489-3p
hsa_circ_0035483,hsa-miR-30b-5p
hsa_circ_0000073,hsa-miR-145-5p
hsa_circ_0074169,hsa-miR-149-5p
hsa_circ_0017311,hsa-miR-421
hsa_circ_0005909,hsa-miR-936
hsa_circ_0088036,hsa-miR-140-3p
hsa_circ_0000527,hsa-miR-646
hsa_circ_0002755,hsa-miR-628-5p
hsa_circ_0062558,hsa-miR-1204
hsa_circ_0087378,hsa-miR-140-3p
hsa_circ_0026134,hsa-miR-127-5p
hsa_circ_0007334,hsa-miR-1271-5p
hsa_circ_0005394,hsa-miR-507
hsa_circ_0005394,hsa-miR-515-5p
hsa_circ_0008234,hsa-miR-185-5p
hsa_circ_0070934,hsa-miR-1236-3p
hsa_circ_0061140,hsa-miR-140-3p
hsa_circ_0082003,hsa-miR-145-5p
hsa_circ_0036722,hsa-miR-1248
hsa_circ_0000977,hsa-miR-135a-5p
hsa_circ_0000977,hsa-miR-135b-5p
hsa_circ_0079586,hsa-miR-183-5p
hsa_circ_0007385,hsa-miR-519d-3p
hsa_circ_0075686,hsa-miR-526b-3p
hsa_circ_0000936,hsa-miR-582-3p
hsa_circ_0026134,hsa-miR-143-3p
hsa_circ_0025033,hsa-miR-3619-5p
hsa_circ_0080145,hsa-miR-326
hsa_circ_0048677,hsa-miR-449c-5p
hsa_circ_0111277,hsa-miR-494-3p
hsa_circ_0004339,hsa-miR-802
hsa_circ_0003949,hsa-miR-326
hsa_circ_0074027,hsa-miR-335-5p
hsa_circ_0072309,hsa-miR-580-3p
hsa_circ_0100338,hsa-miR-200a-3p
hsa_circ_0008717,hsa-miR-326
hsa_circ_0038646,hsa-miR-331-3p
hsa_circ_0064574,hsa-miR-502-3p
hsa_circ_0101145,hsa-miR-548c-3p
hsa_circ_0003998,hsa-miR-143-3p
hsa_circ_0000284,hsa-miR-377-3p
hsa_circ_0027345,hsa-miR-345-5p
hsa_circ_0102958,hsa-miR-1205
hsa_circ_0000284,hsa-miR-338-3p
hsa_circ_0025508,hsa-miR-1283
hsa_circ_0000043,hsa-miR-760
hsa_circ_0003340,hsa-miR-564
hsa_circ_0003506,hsa-miR-1205
hsa_circ_0072088,hsa-miR-377-5p
hsa_circ_0000517,hsa-miR-1296-5p
hsa_circ_0109320,hsa-miR-595
hsa_circ_0078607,hsa-miR-518a-5p
hsa_circ_0004442,hsa-miR-136-5p
hsa_circ_0000144,hsa-miR-204-5p
hsa_circ_0002360,hsa-miR-145-5p
hsa_circ_0043800,hsa-miR-29a-3p
hsa_circ_0043800,hsa-miR-29b-3p
hsa_circ_0043800,hsa-miR-29c-3p
hsa_circ_0008928,hsa-miR-326
hsa_circ_0003141,hsa-miR-1827
hsa_circ_0000376,hsa-miR-1285-3p
hsa_circ_0008532,hsa-miR-155-5p
hsa_circ_0008532,hsa-miR-330-5p
hsa_circ_0004771,hsa-miR-629-3p
hsa_circ_0000615,hsa-miR-338-3p
hsa_circ_0000284,hsa-miR-326
hsa_circ_0085131,hsa-miR-654-5p
hsa_circ_0000515,hsa-miR-296-5p
hsa_circ_0006404,hsa-miR-143-3p
hsa_circ_0001982,hsa-miR-140-5p
hsa_circ_0018534,hsa-miR-488-3p
hsa_circ_0022812,hsa-miR-326
hsa_circ_0043265,hsa-miR-25-3p
hsa_circ_0000285,hsa-miR-599
hsa_circ_0002375,hsa-miR-3198
hsa_circ_0136666,hsa-miR-593-3p
hsa_circ_0001946,hsa-miR-641
hsa_circ_0008285,hsa-miR-382-5p
hsa_circ_0000284,hsa-miR-637
hsa_circ_0049613,hsa-miR-1299
hsa_circ_0039388,hsa-miR-637
hsa_circ_0000944,hsa-miR-6792-3p
hsa_circ_0017639,hsa-miR-224-5p
hsa_circ_0009065,hsa-miR-34b-5p
hsa_circ_0021086,hsa-miR-204-5p
hsa_circ_0002018,hsa-miR-658
hsa_circ_0007158,hsa-miR-583
hsa_circ_0086375,hsa-miR-486-5p
hsa_circ_0005114,hsa-miR-142-3p
hsa_circ_0005114,hsa-miR-590-5p
hsa_circ_0014235,hsa-miR-520a-5p
hsa_circ_0001829,hsa-miR-155-5p
hsa_circ_0001766,hsa-miR-877-3p
hsa_circ_0007121,hsa-miR-182-5p
hsa_circ_0000714,hsa-miR-370-3p
hsa_circ_0044516,hsa-miR-149-5p
hsa_circ_0000735,hsa-miR-502-5p
hsa_circ_0005795,hsa-miR-1231
hsa_circ_0081001,hsa-miR-494-3p
hsa_circ_0005273,hsa-miR-200a-3p
hsa_circ_0030018,hsa-miR-1297
hsa_circ_0004104,hsa-miR-539-3p
hsa_circ_0000554,hsa-miR-485-5p
hsa_circ_0009172,hsa-miR-485-3p
hsa_circ_0007534,hsa-miR-219a-5p
hsa_circ_0000735,hsa-miR-635
hsa_circ_0002137,hsa-miR-433-3p
hsa_circ_0003489,hsa-miR-874-3p
hsa_circ_0006859,hsa-miR-431-5p
hsa_circ_0002162,hsa-miR-33a-5p
hsa_circ_0015326,hsa-miR-127-3p
hsa_circ_0009035,hsa-miR-889-3p
hsa_circ_0005397,hsa-miR-326
hsa_circ_0001610,hsa-miR-646
hsa_circ_0072309,hsa-miR-607
hsa_circ_0110102,hsa-miR-580-5p
hsa_circ_0044529,hsa-miR-4726-5p
hsa_circ_0044520,hsa-miR-4640-5p
hsa_circ_0044520,hsa-miR-4726-5p
hsa_circ_0044529,hsa-miR-4640-5p
hsa_circ_0000215,hsa-miR-190a-3p
hsa_circ_0000215,hsa-miR-1277-5p
hsa_circ_0044516,hsa-miR-4726-5p
hsa_circ_0044520,hsa-miR-4530
hsa_circ_0044516,hsa-miR-4640-5p
hsa_circ_0044529,hsa-miR-4530
hsa_circ_0044529,hsa-miR-4733-3p
hsa_circ_0001946,hsa-miR-3617-5p
hsa_circ_0050102,hsa-miR-1273h-5p
hsa_circ_0044516,hsa-miR-4530
hsa_circ_0081108,hsa-miR-4530
hsa_circ_0081108,hsa-miR-4726-5p
hsa_circ_0050102,hsa-miR-619-5p
hsa_circ_0044520,hsa-miR-214-3p
hsa_circ_0044520,hsa-miR-4733-3p
hsa_circ_0044529,hsa-miR-6753-5p
hsa_circ_0044520,hsa-miR-6753-5p
hsa_circ_0044529,hsa-miR-6798-5p
hsa_circ_0050102,hsa-miR-30b-3p
hsa_circ_0044529,hsa-miR-6895-5p
hsa_circ_0001946,hsa-miR-8056
